Plant Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,Sector Number,Sector Name,Generator Id,January,February,March,April,May,June,July,August,September,October,November,December,Yearly_generation,BA_CODE,YEAR
26,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST4,-373,-327,-473,"31,059","52,065","56,058","47,710","51,697","17,814",-644,-425,"19,169",273330.00,SOCO,2022
51,Dolet Hills,Cleco Power LLC,3265,LA,WSC,SERC,22,1,Electric Utility,1,0,0,.,.,.,.,.,.,.,.,.,.,0.00,MISO,2022
60,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,1,"38,445","33,829","35,413","4,662","35,493","43,643","53,190","53,909","31,128","34,094","34,684","42,549",441039.00,SWPP,2022
60,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,2,"120,159","76,757","71,166","-1,779","74,281","134,189","155,915","155,569","137,375","31,008","42,606","129,588",1126834.00,SWPP,2022
108,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,MRO,22,1,Electric Utility,1,"183,443","140,201","135,779","26,530","37,227","141,484","216,127","228,716","176,150","198,333","37,262","141,950",1663202.00,SWPP,2022
113,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,1,"73,368","51,907","56,605","1,664","7,072","74,495","78,767","68,276","76,382","71,711","69,129","45,435",674811.00,AZPS,2022
113,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,3,"139,310","126,058","129,945",0,"1,185","172,679","188,053","187,829","180,359","167,692","156,052","192,538",1641700.00,AZPS,2022
117,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,1B,"7,309",0,0,"14,850","24,993","19,097","21,918","31,636","23,614","18,319",0,0,161736.00,AZPS,2022
117,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,2B,"21,439","14,694",0,0,"3,231","20,936","29,231","26,083","19,817","16,291",0,0,151722.00,AZPS,2022
117,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,3B,"1,312","7,061","27,406","17,763","15,821","16,594","23,936","25,453","18,607","25,080",0,0,179033.00,AZPS,2022
117,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C4-1,"10,741","30,250","7,765","7,871","32,885","23,343","40,070","29,932","29,338","23,941","5,145","12,640",253921.00,AZPS,2022
117,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C4-2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,AZPS,2022
117,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C5-1,0,0,"32,455","3,918","48,793","54,988","60,701","56,534","40,196","69,564","51,608","10,559",429316.00,AZPS,2022
117,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C5-2,"25,030","23,777","59,765","62,050","57,336","42,689","61,721","75,928","37,193","72,109","33,187","7,090",557875.00,AZPS,2022
117,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C5-3,"13,865","12,085","51,775","36,100","65,853","56,798","70,204","77,975","44,356","81,498","47,561","10,165",568235.00,AZPS,2022
120,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST1,0,"1,880","25,364","19,319","7,719","13,041","10,634","13,674","8,225","2,475",0,0,102331.00,AZPS,2022
126,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,4,0,"9,644","36,525","24,881","24,504","27,591","37,763","40,866","24,849","58,885","52,411","41,399",379318.00,TEPC,2022
126,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST3,0,0,0,"2,716","2,013","14,971","22,685","22,650","26,683","31,782","15,207","19,818",158525.00,TEPC,2022
130,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,1,"146,150","64,385","-3,458","-2,718","-2,632","25,509","176,191","196,348","98,776","-2,121","41,829","158,015",896274.00,SC,2022
130,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,2,"12,981","-3,695","10,798","-1,887","-2,685","18,721","-2,693","-1,678","-2,237","-3,702","-2,505","-2,758",18660.00,SC,2022
130,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,3,"306,548","248,940","322,555","364,079","246,305","306,241","290,354","215,953","247,549","266,918","276,854","344,756",3437052.00,SC,2022
130,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,4,"288,914","213,167","247,152","348,599","313,241","303,174","273,520","165,926","298,792","303,722","247,759","270,182",3274148.00,SC,2022
136,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,1,"215,562","245,375","379,667","333,267","263,740","233,050","184,928","188,305","162,229","192,555","151,628","123,981",2674287.00,SEC,2022
136,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,2,"361,698","306,078","76,963","221,683","288,708","196,193","240,908","306,750","312,375","211,777","426,403","445,418",3394954.00,SEC,2022
136,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,CT1,.,.,.,.,.,"4,564","14,696","30,681","60,298","46,306",-436,-414,155695.00,SEC,2022
136,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,CT2,.,.,.,.,.,"3,988","11,256","44,451","40,143","48,509",-436,-414,147497.00,SEC,2022
136,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,ST,.,.,.,.,.,0,0,"18,766","51,467","48,467",-436,-414,117850.00,SEC,2022
141,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,AF1,0,557,427,"4,659","3,124","5,846","11,832","5,537","4,132","4,512",905,0,41531.00,SRP,2022
141,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,AF2,342,0,0,"3,198","1,192","5,972","9,763","5,143","4,071","2,991",883,0,33555.00,SRP,2022
141,Agua Fria,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,AF3,0,0,0,"6,668","4,431","11,285","16,590","10,000","5,441",0,0,0,54415.00,SRP,2022
147,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,KY7,"25,509","1,328","85,176","88,866","83,420","75,347","78,944","72,525","78,287","93,524","64,613","71,874",819413.00,SRP,2022
147,Kyrene,Salt River Project,16572,AZ,MTN,WECC,22,1,Electric Utility,KY7A,"13,271",653,"46,046","48,250","45,165","40,774","40,553","37,393","40,554","48,189","33,939","38,430",433217.00,SRP,2022
160,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST1,-219,-170,-159,-141,-195,"15,244","17,095",-210,"4,239",-183,-198,-224,34879.00,WALC,2022
160,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST2,"-2,377","-1,094","3,387","67,672","66,043","77,317","85,461","80,195","78,959","103,784","55,304","9,106",623757.00,WALC,2022
160,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,ST3,"120,921","102,977","112,689","69,503","118,802","110,845","122,823","125,893","82,899","2,708","112,468","123,103",1205631.00,WALC,2022
165,GREC,Grand River Dam Authority,7490,OK,WSC,MRO,22,1,Electric Utility,2,"126,794","163,937","201,202",0,"-3,501","208,429","156,144","170,541","97,921","56,546","54,933","138,048",1370994.00,SWPP,2022
165,GREC,Grand River Dam Authority,7490,OK,WSC,MRO,22,1,Electric Utility,3CT,0,0,"16,282","102,105","123,014","51,422","177,892","185,966","160,029","46,347","83,638","136,044",1082739.00,SWPP,2022
165,GREC,Grand River Dam Authority,7490,OK,WSC,MRO,22,1,Electric Utility,3ST,0,0,"7,845","49,476","62,851","102,030","86,448","90,191","78,039","21,935","41,105","67,915",607835.00,SWPP,2022
260,Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT1A,"79,799","74,986","72,975","89,000","33,824","57,217","85,478","99,610","86,089","88,744","84,579","112,777",965078.00,CISO,2022
260,Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT1B,"75,707","69,664","54,022","72,737","33,430","54,032","55,297","94,831","80,427","90,485","84,332","110,837",875801.00,CISO,2022
260,Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT2A,"61,073","69,721","76,364",0,"53,720","51,463","80,315","85,533","73,105","78,096","87,597","92,807",809794.00,CISO,2022
260,Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,CT2B,"63,913","68,752","64,574",0,"45,116","48,133","76,439","82,317","67,366","68,737","79,312","86,659",751318.00,CISO,2022
260,Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,ST1,"80,202","74,559","66,422","85,263","34,143","55,182","70,970","98,966","86,239","91,384","85,795","114,406",943531.00,CISO,2022
260,Dynegy Moss Landing Power Plant Hybrid,Dynegy -Moss Landing LLC,54802,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,ST2,"68,778","75,688","78,499",0,"54,317","52,697","82,051","85,407","73,284","76,253","85,612","91,060",823646.00,CISO,2022
298,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,22,2,NAICS-22 Non-Cogen,1,"-2,177","-1,756","-1,948","-1,744","440,017","512,507","463,292","452,890","245,141","378,133","369,087","357,647",3211089.00,ERCO,2022
298,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,22,2,NAICS-22 Non-Cogen,2,"331,537","309,447","424,940","463,138","127,533","370,210","435,509","434,404","276,304","167,110","387,572","317,465",4045169.00,ERCO,2022
315,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,3,"2,326",80,0,"3,921","3,415","20,544","22,910","62,394","45,275","16,880","76,205","13,519",267469.00,CISO,2022
315,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,4,"10,612","1,116","4,038","5,556","3,400","20,046","39,105","53,614","46,829","24,289","24,912","21,105",254622.00,CISO,2022
315,AES Alamitos LLC,AES Alamitos LLC,22148,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,5,0,0,0,0,0,"11,319","11,663","26,676","54,691",0,0,"4,035",108384.00,CISO,2022
335,AES Huntington Beach LLC,AES Huntington Beach LLC,23693,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,0,0,0,"2,137","1,960","6,379","23,322","40,247","32,224",0,0,0,106269.00,CISO,2022
350,Ormond Beach,"Ormond Beach Power, LLC",63843,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,1,3,0,0,"8,948",0,"5,531",0,"18,803","68,101",366,0,0,101752.00,CISO,2022
350,Ormond Beach,"Ormond Beach Power, LLC",63843,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,2,2,0,0,"4,378",0,"14,826","18,911","68,247","94,855",0,4,656,201879.00,CISO,2022
356,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,5,1,0,430,"2,008",538,"5,177","8,729","17,156","11,973","2,109","1,345","1,006",50472.00,CISO,2022
356,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,6,70,"1,772","1,019",426,"1,246","4,996","6,769","15,447","17,534","2,929","3,397","1,974",57579.00,CISO,2022
356,AES Redondo Beach LLC,AES Redondo Beach LLC,22484,CA,PACC,WECC,22,2,NAICS-22 Non-Cogen,8,0,0,0,691,0,"16,025",0,"27,452","62,613",0,0,"4,339",111120.00,CISO,2022
358,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV3A,"5,053","8,667",0,"33,703","33,762","47,231","61,973","93,487","80,547","83,211","73,102","65,746",586481.00,CISO,2022
358,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV3B,"3,562","7,715",0,"33,014","32,659","41,241","58,710","91,987","84,998","76,564","54,465","62,972",547888.00,CISO,2022
358,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV3C,"5,035","10,098",0,"41,790","41,432","55,330","79,990","124,225","111,309","104,175","79,982","84,882",738248.00,CISO,2022
358,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV4A,"6,305","7,433",0,"36,483","46,259","40,244","73,639","89,167","80,036","83,139","57,511","68,263",588479.00,CISO,2022
358,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV4B,"5,894","11,684",0,"33,548","37,233","34,825","67,206","87,257","76,363","88,179","61,024","60,993",564206.00,CISO,2022
358,Mountainview Generating Station,Southern California Edison Co,17609,CA,PACC,WECC,22,1,Electric Utility,MV4C,"7,344","11,183",0,"42,161","51,033","46,819","90,108","114,478","101,625","109,408","72,351","83,753",730264.00,CISO,2022
377,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,1,0,0,0,0,0,0,1,49,300,0,0,0,350.00,LDWP,2022
377,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,2,0,0,0,0,0,15,49,426,927,0,0,0,1417.00,LDWP,2022
377,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,3,0,0,0,0,0,0,0,0,0,0,0,0,0.00,LDWP,2022
377,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,4,0,0,0,0,0,"2,050","4,201",0,"6,350","16,237","5,481",0,34319.00,LDWP,2022
377,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,5,0,0,0,0,0,1,0,"8,676","7,855",0,0,0,16532.00,LDWP,2022
377,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,8A,0,0,0,0,0,50,0,0,0,0,0,0,50.00,LDWP,2022
377,Grayson,City of Glendale - (CA),7294,CA,PACC,WECC,22,1,Electric Utility,8BC,0,0,0,0,0,0,104,"1,014","2,588",0,0,0,3706.00,LDWP,2022
384,Joliet 29,Midwest Generations EME LLC,12384,IL,ENC,RFC,22,2,NAICS-22 Non-Cogen,7,"57,391",0,0,0,0,"8,955","86,727","68,869","42,075","6,549",0,"41,081",311647.00,PJM,2022
384,Joliet 29,Midwest Generations EME LLC,12384,IL,ENC,RFC,22,2,NAICS-22 Non-Cogen,8,"64,920",0,0,0,"2,700","35,577","55,281","29,746","27,553","4,732",316,"17,899",238724.00,PJM,2022
389,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,2,-161,-132,-169,-142,"7,964","13,365","18,647","18,801","17,273","9,340",0,0,84786.00,IID,2022
389,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,2A,-33,-40,-38,-45,"18,600","30,570","42,530","43,256","39,474","21,404",-155,-99,195424.00,IID,2022
389,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,30,"23,313","16,907",-66,"11,360","22,250","22,394","20,850","19,582","20,788","19,785","22,537","22,969",222669.00,IID,2022
389,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,31,"21,138","15,298",-45,"11,777","22,747","24,636","18,483","27,621","18,728","16,956","20,997","21,725",220061.00,IID,2022
389,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,32,"21,128","15,599",-45,"13,717","20,672","22,333","26,531","16,163","25,430","23,665","21,179","21,426",227798.00,IID,2022
389,El Centro Hybrid,Imperial Irrigation District,9216,CA,PACC,WECC,22,1,Electric Utility,4,-69,"2,704","16,101",-72,"6,623","15,363","15,654","15,840","14,974","7,222",0,0,94340.00,IID,2022
399,Harbor,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,10A,40,512,"5,740","1,526",560,990,"1,182","12,220","13,230",-148,-196,318,35974.00,LDWP,2022
399,Harbor,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,10B,-532,-266,-294,0,-686,"2,100",346,"9,800","14,736","2,290",-84,642,28052.00,LDWP,2022
399,Harbor,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,5,-81,-5,"1,841",750,144,912,503,"8,435","11,649",871,0,297,25316.00,LDWP,2022
400,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,1,"5,578",0,0,"7,338","5,146","5,199","24,087","26,395","26,221",0,0,0,99964.00,LDWP,2022
400,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,10,"103,089","76,665","14,715",0,"25,527","32,962","86,949","99,313","64,102","19,146","22,312","53,425",598205.00,LDWP,2022
400,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,2,0,"2,260",0,"8,203",0,"14,850","3,035","28,803","15,070",0,0,0,72221.00,LDWP,2022
400,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,8,"122,731","55,996","8,163",0,"29,250","62,061","101,002","120,398","95,397","26,399","28,278","75,171",724846.00,LDWP,2022
400,Haynes,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,9,"106,677","20,919",0,0,"25,884","77,298","93,789","111,686","99,179","28,545","27,864","80,345",672186.00,LDWP,2022
404,Scattergood,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,1,"3,280",175,"4,186","3,406",0,647,390,"15,313","15,145",0,0,"2,098",44640.00,LDWP,2022
404,Scattergood,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,2,0,0,0,0,"5,576","3,436","4,093",77,"3,274",0,0,0,16456.00,LDWP,2022
404,Scattergood,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,4,-81,"69,214","109,023","104,420","101,782","59,169","119,066","134,202","122,105","132,463","112,298","76,418",1140079.00,LDWP,2022
404,Scattergood,Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,5,-156,"37,313","60,530","59,560","58,887","29,743","58,140","66,405","61,491","67,541","59,785","38,868",598107.00,LDWP,2022
408,Valley (CA),Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,6,"84,721","31,942","38,002","42,270","14,788","45,030","63,725","83,761","47,075","58,111","64,531","29,275",603231.00,LDWP,2022
408,Valley (CA),Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,7,"83,223","35,775","68,835","57,283","36,673","53,327","51,832","81,096","73,998","57,313","65,864","17,579",682798.00,LDWP,2022
408,Valley (CA),Los Angeles Department of Water & Power,11208,CA,PACC,WECC,22,1,Electric Utility,8,"105,043","41,015","66,169","60,669","32,297","60,203","68,071","97,568","75,100","67,709","77,072","28,758",779674.00,LDWP,2022
469,Cherokee,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,4,"-2,347","66,927","104,065","96,499","104,503","146,462","146,256","110,056","148,305","146,279","139,349","121,634",1327988.00,PSCO,2022
469,Cherokee,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,5,"81,891","62,785","63,934","30,257","61,641","66,031","71,397","81,115","20,235",-316,4,"41,621",580595.00,PSCO,2022
469,Cherokee,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,6,"81,968","48,530","65,498","30,518","61,727","66,219","71,381","80,634","20,264",-195,316,"58,846",585706.00,PSCO,2022
469,Cherokee,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,7,0,"79,062","97,062","50,388","96,037","96,672","102,797","107,971","28,773",0,19,"68,050",726831.00,PSCO,2022
470,Comanche (CO),Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,1,"141,634","147,756","161,786","116,483","32,854","121,334","197,156","131,002","77,243","-3,280","24,436","133,831",1282235.00,WACM,2022
470,Comanche (CO),Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,2,"71,631","165,714","192,444","169,311","205,083","166,780","201,998","171,798","60,983",-608,"48,591","152,452",1606177.00,WACM,2022
470,Comanche (CO),Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,3,"411,777","-3,897","-4,058","-3,830","-3,581","242,438","414,843","487,629","385,215","340,823","321,282","344,228",2932869.00,WACM,2022
492,Martin Drake,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,6,"8,278","4,785",0,0,0,"4,460","17,683","18,586",0,0,0,0,53792.00,WACM,2022
492,Martin Drake,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,7,"14,932","4,265","5,589","4,784","29,393","30,948","32,958","34,972",0,0,0,0,157841.00,WACM,2022
493,George Birdsall,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,1,246,0,479,0,0,0,0,185,"1,223",521,0,68,2722.00,WACM,2022
493,George Birdsall,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,2,233,0,510,0,0,0,0,226,"1,246",448,0,59,2722.00,WACM,2022
493,George Birdsall,City of Colorado Springs - (CO),3989,CO,MTN,WECC,22,1,Electric Utility,3,296,0,547,0,0,0,"1,208",32,"1,425",526,0,69,4103.00,WACM,2022
525,Hayden,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,1,"107,520","99,238","119,194","112,237","86,395","102,220","113,015","119,335","85,744","77,270","101,081","104,679",1227928.00,PSCO,2022
525,Hayden,Public Service Co of Colorado,15466,CO,MTN,WECC,22,1,Electric Utility,2,"153,759","147,326","107,768","123,205","117,884","142,161","169,574","137,641","139,313","166,853","148,098","163,571",1717153.00,PSCO,2022
533,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,1,"1,618",101,52,659,"2,359","3,262","3,288","3,013","2,068","1,659","1,627","1,118",20824.00,AEC,2022
533,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,2,"1,570",101,126,663,"2,373","3,319","3,361","3,067","2,110","1,660","1,621",282,20253.00,AEC,2022
533,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,3,"1,587",-570,-399,301,"3,005","4,956","5,041","4,450","2,822","2,105","1,899",985,26182.00,AEC,2022
533,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,4,"24,887","1,947","2,437","9,151","32,293","46,449","46,190","43,737","30,575","25,177","24,292","20,864",307999.00,AEC,2022
533,McWilliams,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,VAN1,"105,277","61,946","98,650","98,155","43,994","113,013","108,662","112,459","105,268","68,798","109,676","109,797",1135695.00,AEC,2022
