State and County FIPS Code,AVERT Region
08039,Rocky Mountains
08041,Rocky Mountains
08043,Rocky Mountains
08045,Rocky Mountains
08047,Rocky Mountains
08049,Rocky Mountains
08051,Rocky Mountains
08053,Rocky Mountains
08055,Rocky Mountains
08057,Rocky Mountains
08059,Rocky Mountains
08061,Rocky Mountains
08063,Rocky Mountains
08065,Rocky Mountains
08067,Rocky Mountains
08069,Rocky Mountains
08071,Rocky Mountains
08073,Rocky Mountains
08075,Rocky Mountains
08077,Rocky Mountains
08079,Rocky Mountains
08081,Rocky Mountains
08083,Rocky Mountains
08085,Rocky Mountains
08087,Rocky Mountains
08089,Rocky Mountains
08091,Rocky Mountains
08093,Rocky Mountains
08095,Rocky Mountains
08097,Rocky Mountains
08099,Rocky Mountains
08101,Rocky Mountains
08103,Rocky Mountains
08105,Rocky Mountains
08107,Rocky Mountains
08109,Rocky Mountains
08111,Rocky Mountains
08113,Rocky Mountains
08115,Rocky Mountains
08117,Rocky Mountains
08119,Rocky Mountains
08121,Rocky Mountains
08123,Rocky Mountains
08125,Rocky Mountains
09001,New England
09003,New England
09005,New England
09007,New England
09009,New England
09011,New England
09013,New England
09015,New England
10001,Mid-Atlantic
10003,Mid-Atlantic
10005,Mid-Atlantic
11001,Mid-Atlantic
12001,Florida
12003,Florida
12005,Florida
12007,Florida
12009,Florida
12011,Florida
12013,Florida
12015,Florida
12017,Florida
12019,Florida
12021,Florida
12023,Florida
12027,Florida
12029,Florida
12031,Florida
12033,Southeast
12035,Florida
12037,Florida
12039,Florida
12041,Florida
12043,Florida
12045,Florida
12047,Florida
12049,Florida
12051,Florida
12053,Florida
12055,Florida
12057,Florida
12059,Southeast
12061,Florida
12063,Southeast
12065,Florida
12067,Florida
12069,Florida
12071,Florida
12073,Florida
12075,Florida
12077,Florida
12079,Florida
12081,Florida
12083,Florida
12085,Florida
12086,Florida
12087,Florida
12089,Florida
12091,Southeast
12093,Florida
12095,Florida
12097,Florida
12099,Florida
12101,Florida
12103,Florida
12105,Florida
12107,Florida
12109,Florida
12111,Florida
12113,Southeast
12115,Florida
12117,Florida
12119,Florida
12121,Florida
12123,Florida
12125,Florida
12127,Florida
12129,Florida
12131,Southeast
12133,Southeast
13001,Southeast
13003,Southeast
13005,Southeast
13007,Southeast
13009,Southeast
13011,Southeast
13013,Southeast
13015,Southeast
13017,Southeast
13019,Southeast
13021,Southeast
13023,Southeast
13025,Southeast
13027,Southeast
13029,Southeast
13031,Southeast
13033,Southeast
13035,Southeast
13037,Southeast
13039,Southeast
13043,Southeast
13045,Southeast
13047,Southeast
13049,Southeast
13051,Southeast
13053,Southeast
13055,Southeast
13057,Southeast
13059,Southeast
13061,Southeast
13063,Southeast
13065,Southeast
13067,Southeast
13069,Southeast
13071,Southeast
13073,Southeast
13075,Southeast
13077,Southeast
13079,Southeast
13081,Southeast
13083,Southeast
13085,Southeast
13087,Southeast
13089,Southeast
13091,Southeast
13093,Southeast
13095,Southeast
13097,Southeast
13099,Southeast
13101,Southeast
13103,Southeast
13105,Southeast
13107,Southeast
13109,Southeast
13111,Southeast
13113,Southeast
13115,Southeast
13117,Southeast
13119,Southeast
13121,Southeast
13123,Southeast
13125,Southeast
13127,Southeast
13129,Southeast
13131,Southeast
13133,Southeast
13135,Southeast
13137,Southeast
13139,Southeast
13141,Southeast
13143,Southeast
13145,Southeast
13147,Southeast
13149,Southeast
13151,Southeast
13153,Southeast
13155,Southeast
13157,Southeast
13159,Southeast
13161,Southeast
13163,Southeast
13165,Southeast
13167,Southeast
13169,Southeast
13171,Southeast
13173,Southeast
13175,Southeast
13177,Southeast
13179,Southeast
13181,Southeast
13183,Southeast
13185,Southeast
13187,Southeast
13189,Southeast
13191,Southeast
13193,Southeast
13195,Southeast
13197,Southeast
13199,Southeast
13201,Southeast
13205,Southeast
13207,Southeast
13209,Southeast
13211,Southeast
13213,Southeast
13215,Southeast
13217,Southeast
13219,Southeast
13221,Southeast
13223,Southeast
13225,Southeast
13227,Southeast
13229,Southeast
13231,Southeast
13233,Southeast
13235,Southeast
13237,Southeast
13239,Southeast
13241,Southeast
13243,Southeast
13245,Southeast
13247,Southeast
13249,Southeast
13251,Southeast
13253,Southeast
13255,Southeast
13257,Southeast
13259,Southeast
13261,Southeast
13263,Southeast
13265,Southeast
13267,Southeast
13269,Southeast
13271,Southeast
13273,Southeast
13275,Southeast
13277,Southeast
13279,Southeast
13281,Tennessee
13283,Southeast
13285,Southeast
13287,Southeast
13289,Southeast
13291,Tennessee
13293,Southeast
13295,Southeast
13297,Southeast
13299,Southeast
13301,Southeast
13303,Southeast
13305,Southeast
13307,Southeast
13309,Southeast
13311,Southeast
13313,Southeast
13315,Southeast
13317,Southeast
13319,Southeast
13321,Southeast
15001,Hawaii
15003,Hawaii
15005,Hawaii
15007,Hawaii
15009,Hawaii
16001,Northwest
16003,Northwest
16005,Northwest
16007,Northwest
16009,Northwest
16011,Northwest
16013,Northwest
16015,Northwest
16017,Northwest
16019,Northwest
16021,Northwest
16023,Northwest
16025,Northwest
16027,Northwest
16029,Northwest
16031,Northwest
16033,Northwest
16035,Northwest
16037,Northwest
16039,Northwest
16041,Northwest
16043,Northwest
16045,Northwest
16047,Northwest
16049,Northwest
16051,Northwest
16053,Northwest
16055,Northwest
16057,Northwest
16059,Northwest
16061,Northwest
16063,Northwest
16065,Northwest
16067,Northwest
16069,Northwest
16071,Northwest
16073,Northwest
16075,Northwest
16077,Northwest
16079,Northwest
16081,Northwest
16083,Northwest
16085,Northwest
16087,Northwest
17001,Midwest
17003,Midwest
17005,Midwest
17007,Mid-Atlantic
17009,Midwest
17011,Mid-Atlantic
17013,Midwest
17015,Mid-Atlantic
17017,Midwest
17019,Midwest
17021,Midwest
17023,Midwest
17025,Midwest
17027,Midwest
17029,Midwest
17031,Mid-Atlantic
17033,Midwest
17035,Midwest
17037,Mid-Atlantic
17039,Midwest
17041,Midwest
17043,Mid-Atlantic
17045,Midwest
17047,Midwest
17049,Midwest
17051,Midwest
17053,Mid-Atlantic
17055,Midwest
17057,Midwest
17059,Midwest
17061,Midwest
17063,Mid-Atlantic
17065,Midwest
17067,Midwest
17069,Midwest
17071,Midwest
17073,Midwest
17075,Midwest
17077,Midwest
17079,Midwest
17081,Midwest
17083,Midwest
17085,Mid-Atlantic
17087,Midwest
17089,Mid-Atlantic
17091,Mid-Atlantic
17093,Mid-Atlantic
17095,Midwest
17097,Mid-Atlantic
17099,Mid-Atlantic
17101,Midwest
17103,Mid-Atlantic
17105,Mid-Atlantic
17107,Midwest
17109,Midwest
17111,Mid-Atlantic
17113,Midwest
17115,Midwest
17117,Midwest
17119,Midwest
17121,Midwest
17123,Mid-Atlantic
17125,Midwest
17127,Midwest
17129,Midwest
17131,Midwest
17133,Midwest
17135,Midwest
17137,Midwest
17139,Midwest
17141,Mid-Atlantic
17143,Midwest
17145,Midwest
17147,Midwest
17149,Midwest
17151,Midwest
17153,Midwest
17155,Midwest
17157,Midwest
17159,Midwest
17161,Midwest
17163,Midwest
17165,Midwest
17167,Midwest
17169,Midwest
17171,Midwest
17173,Midwest
17175,Midwest
17177,Mid-Atlantic
17179,Midwest
17181,Midwest
17183,Midwest
17185,Midwest
17187,Midwest
17189,Midwest
17191,Midwest
17193,Midwest
17195,Mid-Atlantic
17197,Mid-Atlantic
17199,Midwest
17201,Mid-Atlantic
17203,Mid-Atlantic
18001,Mid-Atlantic
18003,Mid-Atlantic
18005,Midwest
18007,Midwest
18009,Mid-Atlantic
18011,Midwest
18013,Midwest
18015,Midwest
18017,Midwest
18019,Midwest
18021,Midwest
18023,Midwest
18025,Midwest
18027,Midwest
18029,Midwest
18031,Midwest
18033,Midwest
18035,Midwest
18037,Midwest
18039,Midwest
18041,Midwest
18043,Midwest
18045,Midwest
18047,Midwest
18049,Midwest
18051,Midwest
18053,Midwest
18055,Midwest
18057,Midwest
18059,Midwest
18061,Midwest
18063,Midwest
18065,Midwest
18067,Midwest
18069,Midwest
18071,Midwest
18073,Midwest
18075,Mid-Atlantic
18077,Midwest
18079,Midwest
18081,Midwest
18083,Midwest
18085,Midwest
18087,Midwest
18089,Midwest
18091,Midwest
18093,Midwest
18095,Midwest
18097,Midwest
18099,Midwest
18101,Midwest
18103,Midwest
18105,Midwest
18107,Midwest
18109,Midwest
18111,Midwest
18113,Midwest
18115,Midwest
18117,Midwest
18119,Midwest
18121,Midwest
18123,Midwest
18125,Midwest
18127,Midwest
18129,Midwest
18131,Midwest
18133,Midwest
18135,Midwest
18137,Midwest
18139,Midwest
18141,Midwest
18143,Midwest
18145,Midwest
18147,Midwest
18149,Midwest
18151,Midwest
18153,Midwest
18155,Midwest
18157,Midwest
18159,Midwest
18161,Midwest
18163,Midwest
18165,Midwest
18167,Midwest
18169,Midwest
18171,Midwest
18173,Midwest
18175,Midwest
18177,Midwest
18179,Midwest
18181,Midwest
18183,Midwest
19001,Midwest
19003,Midwest
19005,Midwest
19007,Midwest
19009,Midwest
19011,Midwest
19013,Midwest
19015,Midwest
19017,Midwest
19019,Midwest
19021,Midwest
19023,Midwest
19025,Midwest
19027,Midwest
19029,Midwest
19031,Midwest
19033,Midwest
19035,Midwest
19037,Midwest
19039,Midwest
19041,Midwest
19043,Midwest
19045,Midwest
19047,Midwest
19049,Midwest
19051,Midwest
19053,Midwest
19055,Midwest
19057,Midwest
19059,Midwest
19061,Midwest
19063,Midwest
19065,Midwest
19067,Midwest
19069,Midwest
19071,Midwest
19073,Midwest
19075,Midwest
19077,Midwest
19079,Midwest
19081,Midwest
19083,Midwest
19085,Midwest
19087,Midwest
19089,Midwest
19091,Midwest
19093,Midwest
19095,Midwest
19097,Midwest
19099,Midwest
19101,Midwest
19103,Midwest
19105,Midwest
19107,Midwest
19109,Midwest
19111,Midwest
19113,Midwest
19115,Midwest
19117,Midwest
19119,Midwest
19121,Midwest
19123,Midwest
19125,Midwest
19127,Midwest
19129,Midwest
19131,Midwest
19133,Midwest
19135,Midwest
19137,Midwest
19139,Midwest
19141,Midwest
19143,Midwest
19145,Midwest
19147,Midwest
19149,Midwest
19151,Midwest
19153,Midwest
19155,Midwest
19157,Midwest
19159,Midwest
19161,Midwest
19163,Midwest
19165,Midwest
19167,Midwest
19169,Midwest
19171,Midwest
19173,Midwest
19175,Midwest
19177,Midwest
19179,Midwest
19181,Midwest
19183,Midwest
19185,Midwest
19187,Midwest
19189,Midwest
19191,Midwest
19193,Midwest
19195,Midwest
19197,Midwest
20001,Central
20003,Central
20005,Central
20007,Central
20009,Central
20011,Central
20013,Central
20015,Central
20017,Central
20019,Central
20021,Central
20023,Central
20025,Central
20027,Central
20029,Central
20031,Central
20033,Central
20035,Central
20037,Central
20039,Central
20041,Central
20043,Central
20045,Central
20047,Central
20049,Central
20051,Central
20053,Central
20055,Central
20057,Central
20059,Central
20061,Central
20063,Central
20065,Central
20067,Central
20069,Central
20071,Central
20073,Central
20075,Central
20077,Central
20079,Central
20081,Central
20083,Central
20085,Central
20087,Central
20089,Central
20091,Central
20093,Central
20095,Central
20097,Central
20099,Central
20101,Central
20103,Central
20105,Central
20107,Central
20109,Central
20111,Central
20113,Central
20115,Central
20117,Central
20119,Central
20121,Central
20123,Central
20125,Central
20127,Central
20129,Central
20131,Central
20133,Central
20135,Central
20137,Central
20139,Central
20141,Central
20143,Central
20145,Central
20147,Central
20149,Central
20151,Central
20153,Central
20155,Central
20157,Central
20159,Central
20161,Central
20163,Central
20165,Central
20167,Central
20169,Central
20171,Central
20173,Central
20175,Central
20177,Central
20179,Central
20181,Central
20183,Central
20185,Central
20187,Central
20189,Central
20191,Central
20193,Central
20195,Central
20197,Central
20199,Central
20201,Central
20203,Central
20205,Central
20207,Central
20209,Central
21001,Midwest
21003,Tennessee
21005,Midwest
21007,Midwest
21009,Midwest
21011,Midwest
21013,Midwest
21015,Mid-Atlantic
21017,Midwest
21019,Mid-Atlantic
21021,Midwest
21023,Midwest
21025,Mid-Atlantic
21027,Midwest
21029,Midwest
21031,Tennessee
21033,Midwest
21035,Tennessee
21037,Midwest
21039,Midwest
21041,Midwest
21043,Mid-Atlantic
21045,Midwest
21047,Midwest
21049,Midwest
21051,Midwest
21053,Mid-Atlantic
21055,Midwest
21057,Mid-Atlantic
21059,Midwest
21061,Midwest
21063,Mid-Atlantic
21065,Midwest
21067,Midwest
21069,Midwest
21071,Mid-Atlantic
21073,Midwest
21075,Midwest
21077,Midwest
21079,Midwest
21081,Midwest
21083,Tennessee
21085,Midwest
21087,Midwest
21089,Mid-Atlantic
21091,Midwest
21093,Midwest
21095,Midwest
21097,Midwest
21099,Midwest
21101,Midwest
21103,Midwest
21105,Midwest
21107,Midwest
21109,Mid-Atlantic
21111,Midwest
21113,Midwest
21115,Mid-Atlantic
21117,Mid-Atlantic
21119,Mid-Atlantic
21121,Midwest
21123,Midwest
21125,Midwest
21127,Mid-Atlantic
21129,Midwest
21131,Mid-Atlantic
21133,Mid-Atlantic
21135,Mid-Atlantic
21137,Midwest
21139,Midwest
21141,Tennessee
21143,Midwest
21145,Midwest
21147,Midwest
21149,Midwest
21151,Midwest
21153,Mid-Atlantic
21155,Midwest
21157,Tennessee
21159,Mid-Atlantic
21161,Midwest
21163,Midwest
21165,Mid-Atlantic
21167,Midwest
21169,Tennessee
21171,Tennessee
21173,Midwest
21175,Mid-Atlantic
21177,Midwest
21179,Midwest
21181,Midwest
21183,Midwest
21185,Midwest
21187,Midwest
21189,Mid-Atlantic
21191,Midwest
21193,Mid-Atlantic
21195,Mid-Atlantic
21197,Mid-Atlantic
21199,Midwest
21201,Midwest
21203,Midwest
21205,Midwest
21207,Midwest
21209,Midwest
21211,Midwest
21213,Tennessee
21215,Midwest
21217,Midwest
21219,Tennessee
21221,Tennessee
21223,Midwest
21225,Midwest
21227,Tennessee
21229,Midwest
21231,Mid-Atlantic
21233,Midwest
21235,Midwest
21237,Mid-Atlantic
21239,Midwest
22001,Midwest
22003,Midwest
22005,Midwest
22007,Midwest
22009,Midwest
22011,Midwest
22013,Midwest
22015,Midwest
22017,Central
22019,Midwest
22021,Midwest
22023,Midwest
22025,Midwest
22027,Midwest
22029,Midwest
22031,Midwest
22033,Midwest
22035,Midwest
22037,Midwest
22039,Midwest
22041,Midwest
22043,Midwest
22045,Midwest
22047,Midwest
22049,Midwest
22051,Midwest
22053,Midwest
22055,Midwest
22057,Midwest
22059,Midwest
22061,Midwest
22063,Midwest
22065,Midwest
22067,Midwest
22069,Midwest
22071,Midwest
22073,Midwest
22075,Midwest
22077,Midwest
22079,Midwest
22081,Midwest
22083,Midwest
22085,Midwest
22087,Midwest
22089,Midwest
22091,Midwest
22093,Midwest
22095,Midwest
22097,Midwest
22099,Midwest
22101,Midwest
22103,Midwest
22105,Midwest
22107,Midwest
22109,Midwest
22111,Midwest
22113,Midwest
22115,Midwest
22117,Midwest
22119,Midwest
22121,Midwest
22123,Midwest
22125,Midwest
22127,Midwest
23001,New England
23003,New England
23005,New England
23007,New England
23009,New England
23011,New England
23013,New England
23015,New England
23017,New England
23019,New England
23021,New England
23023,New England
23025,New England
23027,New England
23029,New England
23031,New England
24001,Mid-Atlantic
24003,Mid-Atlantic
24005,Mid-Atlantic
24009,Mid-Atlantic
24011,Mid-Atlantic
24013,Mid-Atlantic
24015,Mid-Atlantic
24017,Mid-Atlantic
24019,Mid-Atlantic
24021,Mid-Atlantic
24023,Mid-Atlantic
24025,Mid-Atlantic
24027,Mid-Atlantic
24029,Mid-Atlantic
24031,Mid-Atlantic
24033,Mid-Atlantic
24035,Mid-Atlantic
24037,Mid-Atlantic
24039,Mid-Atlantic
24041,Mid-Atlantic
24043,Mid-Atlantic
24045,Mid-Atlantic
24047,Mid-Atlantic
24510,Mid-Atlantic
25001,New England
25003,New England
25005,New England
25007,New England
25009,New England
25011,New England
25013,New England
25015,New England
25017,New England
25019,New England
25021,New England
25023,New England
25025,New England
25027,New England
26001,Midwest
26003,Midwest
26005,Midwest
26007,Midwest
26009,Midwest
26011,Midwest
26013,Midwest
26015,Midwest
26017,Midwest
26019,Midwest
26021,Mid-Atlantic
26023,Midwest
26025,Midwest
26027,Mid-Atlantic
26029,Midwest
26031,Midwest
26033,Midwest
26035,Midwest
26037,Midwest
26039,Midwest
26041,Midwest
26043,Midwest
26045,Midwest
26047,Midwest
26049,Midwest
26051,Midwest
26053,Midwest
26055,Midwest
26057,Midwest
26059,Midwest
26061,Midwest
26063,Midwest
26065,Midwest
26067,Midwest
26069,Midwest
26071,Midwest
26073,Midwest
26075,Midwest
26077,Midwest
26079,Midwest
26081,Midwest
26083,Midwest
26085,Midwest
26087,Midwest
26089,Midwest
26091,Midwest
26093,Midwest
26095,Midwest
26097,Midwest
26099,Midwest
26101,Midwest
26103,Midwest
26105,Midwest
26107,Midwest
26109,Midwest
26111,Midwest
26113,Midwest
26115,Midwest
26117,Midwest
26119,Midwest
26121,Midwest
26123,Midwest
26125,Midwest
26127,Midwest
26129,Midwest
26131,Midwest
26133,Midwest
26135,Midwest
26137,Midwest
26139,Midwest
26141,Midwest
26143,Midwest
26145,Midwest
26147,Midwest
26149,Midwest
26151,Midwest
26153,Midwest
26155,Midwest
26157,Midwest
26159,Midwest
26161,Midwest
26163,Midwest
26165,Midwest
27001,Midwest
27003,Midwest
27005,Midwest
27007,Midwest
27009,Midwest
27011,Midwest
27013,Midwest
27015,Midwest
27017,Midwest
27019,Midwest
27021,Midwest
27023,Midwest
27025,Midwest
27027,Midwest
27029,Midwest
27031,Midwest
27033,Midwest
27035,Midwest
27037,Midwest
27039,Midwest
27041,Midwest
27043,Midwest
27045,Midwest
27047,Midwest
27049,Midwest
27051,Midwest
27053,Midwest
27055,Midwest
27057,Midwest
27059,Midwest
27061,Midwest
27063,Midwest
27065,Midwest
27067,Midwest
27069,Midwest
27071,Midwest
27073,Midwest
27075,Midwest
27077,Midwest
27079,Midwest
27081,Midwest
27083,Midwest
27085,Midwest
27087,Midwest
27089,Midwest
27091,Midwest
27093,Midwest
27095,Midwest
27097,Midwest
27099,Midwest
27101,Midwest
27103,Midwest
27105,Midwest
27107,Midwest
27109,Midwest
27111,Midwest
27113,Midwest
27115,Midwest
27117,Midwest
27119,Midwest
27121,Midwest
27123,Midwest
27125,Midwest
27127,Midwest
27129,Midwest
27131,Midwest
27133,Midwest
27135,Midwest
27137,Midwest
27139,Midwest
27141,Midwest
27143,Midwest
27145,Midwest
27147,Midwest
27149,Midwest
27151,Midwest
27153,Midwest
27155,Midwest
27157,Midwest
27159,Midwest
27161,Midwest
27163,Midwest
27165,Midwest
27167,Midwest
27169,Midwest
27171,Midwest
27173,Midwest
28001,Midwest
28003,Tennessee
28005,Midwest
28007,Midwest
28009,Tennessee
28011,Midwest
28013,Midwest
28015,Midwest
28017,Tennessee
28019,Midwest
28021,Midwest
28023,Southeast
28025,Midwest
28027,Midwest
28029,Midwest
28031,Midwest
28033,Midwest
28035,Southeast
28037,Midwest
28039,Southeast
28041,Southeast
28043,Midwest
28045,Southeast
28047,Southeast
28049,Midwest
28051,Midwest
28053,Midwest
28055,Midwest
28057,Tennessee
28059,Southeast
28061,Southeast
28063,Midwest
28065,Midwest
28067,Southeast
28069,Tennessee
28071,Tennessee
28073,Southeast
28075,Southeast
28077,Midwest
28079,Midwest
28081,Tennessee
28083,Midwest
28085,Midwest
28087,Tennessee
28089,Midwest
28091,Southeast
28093,Tennessee
28095,Tennessee
28097,Midwest
28099,Southeast
28101,Southeast
28103,Tennessee
28105,Tennessee
28107,Midwest
28109,Southeast
28111,Southeast
28113,Midwest
28115,Tennessee
28117,Tennessee
28119,Midwest
28121,Midwest
28123,Midwest
28125,Midwest
28127,Midwest
28129,Midwest
28131,Southeast
28133,Midwest
28135,Midwest
28137,Midwest
28139,Tennessee
28141,Tennessee
28143,Midwest
28145,Tennessee
28147,Midwest
28149,Midwest
28151,Midwest
28153,Southeast
28155,Midwest
28157,Midwest
28159,Tennessee
28161,Midwest
28163,Midwest
29001,Midwest
29003,Central
29005,Central
29007,Midwest
29009,Central
29011,Central
29013,Central
29015,Central
29017,Midwest
29019,Midwest
29021,Central
29023,Midwest
29025,Midwest
29027,Midwest
29029,Midwest
29031,Midwest
29033,Central
29035,Midwest
29037,Central
29039,Central
29041,Midwest
29043,Central
29045,Midwest
29047,Midwest
29049,Midwest
29051,Midwest
29053,Midwest
29055,Midwest
29057,Central
29059,Central
29061,Midwest
29063,Midwest
29065,Midwest
29067,Midwest
29069,Midwest
29071,Midwest
29073,Midwest
29075,Midwest
29077,Central
29079,Central
29081,Central
29083,Central
29085,Central
29087,Central
29089,Midwest
29091,Midwest
29093,Midwest
29095,Central
29097,Central
29099,Midwest
29101,Central
29103,Midwest
29105,Midwest
29107,Central
29109,Central
29111,Midwest
29113,Midwest
29115,Midwest
29117,Midwest
29119,Central
29121,Midwest
29123,Midwest
29125,Midwest
29127,Midwest
29129,Central
29131,Midwest
29133,Midwest
29135,Midwest
29137,Midwest
29139,Midwest
29141,Midwest
29143,Midwest
29145,Central
29147,Central
29149,Midwest
29151,Midwest
29153,Midwest
29155,Midwest
29157,Midwest
29159,Midwest
29161,Midwest
29163,Midwest
29165,Central
29167,Central
29169,Midwest
29171,Midwest
29173,Midwest
29175,Midwest
29177,Midwest
29179,Midwest
29181,Midwest
29183,Midwest
29185,Central
29186,Midwest
29187,Midwest
29189,Midwest
29195,Midwest
29197,Midwest
29199,Midwest
29201,Midwest
29203,Midwest
29205,Midwest
29207,Midwest
29209,Central
29211,Midwest
29213,Central
29215,Midwest
29217,Central
29219,Midwest
29221,Midwest
29223,Midwest
29225,Midwest
29227,Central
29229,Midwest
29510,Midwest
30001,Northwest
30003,Northwest
30005,Northwest
30007,Northwest
30009,Northwest
30011,Rocky Mountains
30013,Northwest
30015,Northwest
30017,Central
30019,Central
30021,Central
30023,Northwest
30025,Central
30027,Northwest
30029,Northwest
30031,Northwest
30033,Central
30035,Northwest
30037,Northwest
30039,Northwest
30041,Northwest
30043,Northwest
30045,Northwest
30047,Northwest
30049,Northwest
30051,Northwest
30053,Northwest
30055,Central
30057,Northwest
30059,Northwest
30061,Northwest
30063,Northwest
30065,Northwest
30067,Northwest
30069,Northwest
30071,Northwest
30073,Northwest
30075,Rocky Mountains
30077,Northwest
30079,Central
30081,Northwest
30083,Central
30085,Central
30087,Northwest
30089,Northwest
30091,Central
30093,Northwest
30095,Northwest
30097,Northwest
30099,Northwest
30101,Northwest
30103,Northwest
30105,Northwest
30107,Northwest
30109,Central
30111,Northwest
31001,Central
31003,Central
31005,Rocky Mountains
31007,Rocky Mountains
31009,Central
31011,Central
31013,Central
31015,Central
31017,Central
31019,Central
31021,Central
31023,Central
31025,Central
31027,Central
31029,Central
31031,Central
31033,Rocky Mountains
31035,Central
31037,Central
31039,Central
31041,Central
31043,Central
31045,Central
31047,Central
31049,Central
31051,Central
31053,Central
31055,Central
31057,Central
31059,Central
31061,Central
31063,Central
31065,Central
31067,Central
31069,Central
31071,Central
31073,Central
31075,Central
31077,Central
31079,Central
31081,Central
31083,Central
31085,Central
31087,Central
31089,Central
31091,Central
31093,Central
31095,Central
31097,Central
31099,Central
31101,Central
31103,Central
31105,Rocky Mountains
31107,Central
31109,Central
31111,Central
31113,Central
31115,Central
31117,Central
31119,Central
31121,Central
31123,Central
31125,Central
31127,Central
31129,Central
31131,Central
31133,Central
31135,Central
31137,Central
31139,Central
31141,Central
31143,Central
31145,Central
31147,Central
31149,Central
31151,Central
31153,Central
31155,Central
31157,Central
31159,Central
31161,Central
31163,Central
31165,Central
31167,Central
31169,Central
31171,Central
31173,Central
31175,Central
31177,Central
31179,Central
31181,Central
31183,Central
31185,Central
32001,Northwest
32003,Northwest
32005,Northwest
32007,Northwest
32009,Northwest
32011,Northwest
