Variable_name,File,Sheet_name,File_format,Rownames
usa_carbon_budget_iam,inputs/model/usa_carbon_budget.csv,,.csv,
AEO2022_Electricity_EF_Yearly_Change,inputs/air_quality/AEO2022_Electricity_EF_Yearly_Change.csv,,.csv,
AVERT_us_emissions_factors,inputs/air_quality/AVERT_us_emissions_factors.csv,,.csv,
AVERT_us_electricity_regions_states_allocation,inputs/air_quality/AVERT_us_electricity_regions_states_allocation.csv,,.csv,
BTW_default,inputs/air_quality/BTW_default.csv,,.csv,
normalized_emissions_by_state,inputs/air_quality/normalized_emissions_by_state.csv,,.csv,
normalized_total_emissions,inputs/air_quality/normalized_total_emissions.csv,,.csv,
energy_consumption_fleet,inputs/air_quality/energy_consumption_fleet.csv,,.csv,
state_groups_composition,inputs/air_quality/state_groups_composition.csv,,.csv,
list_states,inputs/air_quality/list_states.csv,,.csv,
vehicle_population_by_state,inputs/air_quality/vehicle_population_by_state.csv,,.csv,
COBRA_default_population_data,inputs/air_quality/COBRA_default_population_data.csv,,.csv,
COBRA_default_incidence_data,inputs/air_quality/COBRA_default_incidence_data.csv,,.csv,
COBRA_emissions_baseline,inputs/air_quality/COBRA_emissions_baseline.csv,,.csv,
COBRA_emissions_scenario,inputs/air_quality/COBRA_emissions_scenario.csv,,.csv,
MOVES_energy_consumption_fleet,inputs/air_quality/MOVES_energy_consumption_fleet.csv,,.csv,
COBRA_emissions_scenario_template,inputs/air_quality/COBRA_emissions_scenario_template.csv,,.csv,
COBRA_emissions_baseline_template,inputs/air_quality/COBRA_emissions_baseline_template.csv,,.csv,
COBRA_SOURCEINDX to FIPS crosswalk,inputs/air_quality/COBRA_SOURCEINDX to FIPS crosswalk.csv,,.csv,
COBRA_EmissionsTier Definitions,inputs/air_quality/COBRA_EmissionsTier Definitions.csv,,.csv,
COBRA_default_population_data,inputs/air_quality/COBRA_default_population_data.csv,,.csv,
COBRA_default_incidence_data,inputs/air_quality/COBRA_default_incidence_data.csv,,.csv,
CAMBIUM_mid_case,inputs/air_quality/CAMBIUM_mid_case.csv,,.csv,
CAMBIUM_FIPS_to_GEA,inputs/air_quality/CAMBIUM_FIPS_to_GEA.csv,,.csv,
eGRID_Regions_Correspondance,inputs/air_quality/eGRID_Regions_Correspondance.csv,,.csv,
normalized_vehicles_distribution_by_county,inputs/air_quality/normalized_vehicles_distribution_by_county.csv,,.csv,
CAMBIUM_Low_renewables,inputs/air_quality/CAMBIUM_Low_renewables.csv,,.csv,
NREL_elec_intermediate,inputs/air_quality/NREL_elec_intermediate.csv,,.csv,
EIA_923_Plant_Level_Production,inputs/air_quality/EIA_923_Plant_Level_Production.csv,,.csv,
EIA_860_Plant_Database,inputs/air_quality/EIA_860_Plant_Database.csv,,.csv,
NEI_plant_elec_inventory,inputs/air_quality/NEI_plant_elec_inventory.csv,,.csv,
eGRID_plant_elec_inventory,inputs/air_quality/eGRID_plant_elec_inventory.csv,,.csv,
CAMBIUM_High_renewables,inputs/air_quality/CAMBIUM_High_renewables.csv,,.csv,
CAMBIUM_high_electrification,inputs/air_quality/CAMBIUM_high_electrification.csv,,.csv,
NREL_elec_2035decarb,inputs/air_quality/NREL_elec_2035decarb.csv,,.csv,
NREL_elec_2050decarb,inputs/air_quality/NREL_elec_2050decarb.csv,,.csv,
NREL_elec_lowNG,inputs/air_quality/NREL_elec_lowNG.csv,,.csv,
NREL_elec_highdemandgrowth,inputs/air_quality/NREL_elec_highdemandgrowth.csv,,.csv,
NREL_elec_low_case,inputs/air_quality/NREL_elec_low_case.csv,,.csv,
NREL_elec_intermediate_high_growth,inputs/air_quality/NREL_elec_intermediate_high_growth.csv,,.csv,
NREL_elec_high_decarb_high_demand,inputs/air_quality/NREL_elec_high_decarb_high_demand.csv,,.csv,
NREL_elec_high_decarb,inputs/air_quality/NREL_elec_high_decarb.csv,,.csv,
AEO23_frac_elec_non_transport,inputs/air_quality/AEO23_frac_elec_non_transport.csv,,.csv,
ef_pollutants_egrid,inputs/air_quality/ef_pollutants_egrid.csv,,.csv,
NREL_elec_intermediate_no_coal,inputs/air_quality/NREL_elec_intermediate_no_coal.csv,,.csv,
BTW_high_brake,inputs/air_quality/BTW_high_brake.csv,,.csv,
BTW_low_brake,inputs/air_quality/BTW_low_brake.csv,,.csv,
NEI_plant_emissions,inputs/air_quality/NEI_plant_emissions.csv,,.csv,
BTW_high_tire,inputs/air_quality/BTW_high_tire.csv,,.csv,
BTW_low_tire,inputs/air_quality/BTW_low_tire.csv,,.csv,
BTW_high_overall,inputs/air_quality/BTW_high_overall.csv,,.csv,
BTW_low_overall,inputs/air_quality/BTW_low_overall.csv,,.csv,
EIA_Power_Plants,inputs/air_quality/EIA_Power_Plants.csv,,.csv,
MOVES_VMT_allocation_county,inputs/air_quality/MOVES_VMT_allocation_county.csv,,.csv,
Petroleum_Refineries,inputs/air_quality/Petroleum_Refineries.csv,,.csv,
refinery_rank_2023,inputs/air_quality/refinery_rank_2023.csv,,.csv,
urban_rural_counties,inputs/air_quality/Urban_rural_counties_MOVES.csv,,.csv,
ZEV_states,inputs/air_quality/ZEV_states.csv,,.csv,
CAMBIUM_2022_mid-case,inputs/air_quality/CAMBIUM_2022_mid-case.csv,,.csv,
CAMBIUM_2021_mid_case,inputs/air_quality/CAMBIUM_2021_mid_case.csv,,.csv,
AEO_Mid_Case,inputs/air_quality/AEO_Mid_Case.csv,,.csv,
AEO_High_Renewables,inputs/air_quality/AEO_High_Renewables.csv,,.csv,
AEO_Low_Renewables,inputs/air_quality/AEO_Low_Renewables.csv,,.csv,
COBRA_future_years_benefits,inputs/air_quality/COBRA_future_years_benefits.csv,,.csv,
Mid_Case_2014,inputs/air_quality/Mid_Case_2014.csv,,.csv,
AEO_2022_reference_case,inputs/air_quality/AEO_2022_reference_case.csv,,.csv,
AEO_2022_high_oil_gas_supply,inputs/air_quality/AEO_2022_high_oil_gas_supply.csv,,.csv,
AEO_2022_low_oil_gas_supply,inputs/air_quality/AEO_2022_low_oil_gas_supply.csv,,.csv,
AEO_2021_reference,inputs/air_quality/AEO_2021_reference.csv,,.csv,
AEO_2021_low_oil_gas_supply,inputs/air_quality/AEO_2021_low_oil_gas_supply.csv,,.csv,
AEO_2020_reference,inputs/air_quality/AEO_2020_reference.csv,,.csv,
AEO_2019_reference,inputs/air_quality/AEO_2019_reference.csv,,.csv,
AEO_2023_no_ira,inputs/air_quality/AEO_2023_no_ira.csv,,.csv,
EFS_Retire-Constraint_Ref_annual_national,inputs/air_quality/EFS_Retire-Constraint_Ref_annual_national.csv,,.csv,
EFS_Retire-Constraint_High_annual_national,inputs/air_quality/EFS_Retire-Constraint_High_annual_national.csv,,.csv,
