"Attribute","Type","Value","Default","All","Name","Description"
"gwp_th","num","100","100","100;20","GWP Time horizon","Time horizon for the GWP values"
"HEV_bat_t","cha","Ni_MH","Ni_MH","Li_ion LMO;Ni_MH","Battery chemistry for HEV","Battery chemistry for HEV"
"include_battery_manufacturing","cha","N","N","Y;N","Include battery manufacturing emissions in the calculation","Include battery manufacturing emissions in the calculation"
"include_biomass","cha","no","no","yes;no","If yes, the biomass is included in the calculation of the pollutants emissions; otherwise it will be counted as renewables","If yes, the biomass is included in the calculation of the pollutants emissions; otherwise it will be counted as renewables"
"include_ng_emissions","cha","y","y","y;n","include (y) or exclude (n) the emissions related to the extraction of natural gas in the calculation of the emissions",""
"income_growth_rate","num","1.3","1.3","1.3","Yearly growth rate of income in the US",NA
"initial_scenario_year","num","2022","2022","2022","First year in wich the custom fleet is calculated","First year in wich the custom fleet is calculated"
"input_data",NA,NA,NA,NA,NA,NA
"input_level",NA,NA,NA,NA,NA,NA
"interpolation",NA,NA,NA,NA,NA,NA
"last_yr","num","2050","2050","2050","Last year of the model simulations","Last year of the model simulations"
"lca_veh_lifetime_mdl","cha","def","def","low;high","Vehicle lifetime","In vehicle-based LCA, defines the total distance travelled over a vehicle lifetime. "
"lw_first_yr","num","2020","2020","2020","First-year of lightweighting implementation","First-year of lightweighting implementation"
"lw_period","num","14","14","14","Period of lightweighting for the lightweighting scenarios","Period of lightweighting for the lightweighting scenarios"
"lw_scen","cha","constant","constant","constant;Aluminum Maximum","Lightweighting scenario","Lightweighting scenario to run"
"market_share_adj_size","cha","n","n","n;Car;Ligth truck","Adjust size market share. If yes, which size.","Adjust size market share. If yes, which size."
"market_share_adj_size_an_grw","num","0","0","0","Relative annual growth in size market share adjustments","Relative annual growth in size market share adjustments"
"market_share_adj_size_mdl","cha","n","n","car_high;lt_high","Size market share scenario","Size adjustement in market share"
"market_share_adj_start_yr","num","2020","2020",NA,NA,NA
"market_share_adj_techno","cha","n","n","2035_BEV300; 2025_BEV100","Technology market share scenario","Adjust technology market share. If yes, which technology."
"market_share_bass_imitation_coef","num","0","0","0","Imitation coefficient (q) in bass diffusion model","Imitation coefficient (q) in bass diffusion model"
"market_share_bass_innovation_coef","num","0.00065","0.00065","0.00065","Innovation coefficient (p) in bass diffusion model","Innovation coefficient (p) in bass diffusion model"
"market_share_diffusion_mdl","cha","linear","linear","linear;bass","Model of diffusion of innovation","Model of diffusion of innovation"
"market_share_linear_diff_coef","num","0","0","0.003","If adjusted AEO sales, growth rate for the adjusted technologies","If adjusted AEO sales, growth rate for the adjusted technologies"
"market_share_market_potential","num","1","1","1","Maximum market potential in diffusion model","Maximum market potential in diffusion model"
"market_share_matrix_rel",NA,NA,NA,NA,NA,NA
"market_share_source","cha","aeo","aeo","aeo;constant","Source of the projected technology market shares","Source of the projected technology market shares"
"mat_cont_adj","cha","y","y","y;n","Adjustment of initial vehicle material content","Adjustment of initial vehicle material content"
"matrix_mix",NA,NA,NA,NA,NA,NA
"mod_scen_GREET","cha","1","1","1;2","GREET scenario for initial alternative vehicle curb weight","GREET scenario for initial alternative vehicle curb weight"
"MOVES_fleet_files",NA,NA,NA,NA,NA,NA
"name",NA,NA,NA,NA,NA,NA
"name_graph_series",NA,NA,NA,NA,NA,NA
"output",NA,NA,NA,NA,NA,NA
"output_level",NA,NA,NA,NA,NA,NA
"PHEV_bat_t","cha","Li_ion LMO","Li_ion LMO","Li_ion LMO;Ni_MH","Battery chemistry for PHEV","Battery chemistry for PHEV"
"pwtr_resz_ratio","num","1","1","0;1","Secondary mass savings due to powertrain resizing","Secondary mass savings due to powertrain resizing"
"rebound_effect_mdl","cha","n","n","n;high","Rebound effect model","Rebound effect model"
"rebound_effect_value","num","-0.1","-0.1","-0.1","Rebounf effect value when continuous simulations","Rebounf effect value when continuous simulations"
"rec_scen","cha","BAU","BAU","BAU;CL100","Automotive material recovery scenario","Automotive material recovery"
"relative_transportation_electricity_demand","num","0.004241517","0.004241517",NA,"electricity production correction factor","Share of the total electricity demand used by vehicles in 2022"
"results_path",NA,NA,NA,NA,NA,NA
"s_and_f_attribute_name","cha","market_share_linear_diff_coef","market_share_linear_diff_coef","market_share_linear_diff_coef","Attribute to change in the seek and find function","Attribute to change in the seek and find function"
"s_and_f_cut_off","num","0.0001","0.0001","0.0001","Cut-off interval in the seek-and-find function using dichotomy","Cut-off interval in the seek-and-find function using dichotomy"
"s_and_f_ghg","cha","all","all","all;CO2",NA,NA
"s_and_f_max_attribute_value","num","1","1","1","Maximum value of the attribute to change in the seek-and-find function","Maximum value of the attribute to change in the seek-and-find function"
"s_and_f_metric","cha","cum_gwp","cum_gwp","cum_gwp",NA,NA
"s_and_f_target_sector","cha","all","all","all;Energy,Transportation","Sectors to include in the emission target for the seek-and-find function","Sectors to include in the emission target for the seek-and-find function"
"s_and_f_target_year","num","2050","2050","2050","Target year in the seek-and-find function","Target year in the seek-and-find function"
"scenario_id","cha","scen_ZEV_all_NREL_inter_COBRA","scen_ZEV_all_NREL_inter_COBRA","","Scenario to be loaded for the calculation of the fleet's composition","Scenario to be loaded for the calculation of the fleet's composition"
"share_diesel_ldv_cons","num","0.00731","0.00731","0.00731","Share of the total diesel production used in the LDV fleet","According to data from the 2023 Annual energy Outlook"
"share_gasoline_ldv_cons","num","0.899","0.899","0.899","Share of the total gasoline production used by the LDV fleet","According to data from the 2023 Annual energy Outlook"
"share_ldv_crude_oil","num","0.397","0.397","0.397","Share of the total supply of crude oil used in the LDV fleet","According to data from the 2023 Annual energy Outlook"
"share_ng_cons_elec","num","0.326","0.326","0.326","Share of the U.S. production of natural gas used in electricity production in the reference year 2021","Source: EIA"
"share_ng_cons_ldv","num","0.326","0.326","0.326","Share of the U.S. production of natural gas used in electricity production in the reference year 2021","Source: EIA"
"share_prod_ethanol_fuel","num","0.9","0.9","0.9","Share of the total ethanol production used in fuels","According to data from the U.S. Department of Agriculture"
"sms_cutoff","num","0.5","0.5","0.5","Cut-off for SMS calculations","Cut-off for SMS calculations"
"sms_ratio","num","1","1","0;1","Secondary savings ratio","Secondary savings ratio"
"ssp_mitigation_scen","cha","19","19","baseline;19;26;34;45;60","Mitigation scenario","Mitigation scenario"
"ssp_scen","cha","2","2","1;2;3;4;5","Baseline of the SSPs scenario","Baseline of the SSPs scenario"
"stack_height_allocation","cha","default","default","default;class_2;class_3;average",NA,NA
"state_resolved_fleet_direct_emissions",NA,NA,NA,NA,NA,NA
"state_resolved_yearly_emissions",NA,NA,NA,NA,NA,NA
"sub_fac_fun","cha","mean","mean","min;max","Substitution factor model","Substitution factor model"
"survival_rate_adj_age","num","0","0","0;15","Survival rate adjustment lifetime","If 0, no survival rate distribution adjustments. If > 0, the survival rate distribution is adjusted so that no cars older than the value survive."
"survival_rate_mdl","num","1","1","1;3","Survival rate distribution","Model of the survival rate distribution to consider."
"survival_rate_techno_specific","cha","n","n","n;y","Technology-specific survival year adjustments","If y, only conventional vehicles have adjusted survival rates. If n, all vehicles have adjusted survival rates."
"survival_rate_transition_period","num","0","0","0;5;10","Transition period for survival rate adjustments","0 means no transition period. The survival_rate_adj_age is considered the age limit starting in 2021."
"technology_market_share",NA,NA,NA,NA,NA,NA
"title_graph",NA,NA,NA,NA,NA,NA
"title_x",NA,NA,NA,NA,NA,NA
"title_y",NA,NA,NA,NA,NA,NA
"value_statistical_life","num","1.21E+07","1.21E+07","1.21E+07","VSL in 2023 USD","VSL in 2023 USD"
"vehicle_EF_factor_NOx","num","1","1","1",NA,NA
"vehicle_EF_factor_PM25","num","1","1","1",NA,NA
"vehicle_EF_factor_SO2","num","1","1","1",NA,NA
"vehicle_year_shift",NA,NA,NA,NA,NA,NA
"vehicles_sizes_source","cha","FLAME","FLAME","FLAME;MOVES","Sizes of vehicles to be considered, either FLAME or MOVES","Sizes of vehicles to be considered, either FLAME or MOVES"
"vh_lca_yrs","cha","2022","2022","2022","Years to generate LCA results","Years to generate LCA results"
"vkt_growth_mdl","cha","Constant","Constant","linear_low;linear_high","VKT growth model","VKT growth rate"
"vkt_growth_rate","num","0","0","0",NA,NA
"vkt_hybrid_factor","num","0","0","0;1","Annual mileage adjustment factor","If vkt_mdl=hybrid, this factor is use. If factor is 0, the vkt_mdl is similar to constant. If factor is 1, the vkt_mdl is similar to age. Any value in between represents weighted distances between two values."
"vkt_mdl","cha","age","age","age;constant;hybrid","Annual mileage distribution model","If age, the annual mileage is age-specific based on TEDB data. If constant, the annual mileage is not age-specific and is based on average annual mileage in the U.S., also from TEDB. If hybrid, the distribution is a mix of age-specific TEDB and constant with vkt_hybrid_factor being the weighting factor."
"vkt_turnover_adj_mdl","cha","n","n","y;n",NA,NA
"vsl_elasticity","num","0.4","0.4","1;0.4","Income elasticity of VSL",NA
"wgt_scen_GREET","cha","2","2","1;3","2018MY vehicle curb weight","2018MY vehicle curb weight"
"x_axis",NA,NA,NA,NA,NA,NA
"y_axis",NA,NA,NA,NA,NA,NA
"year_break","num","2050","2050","2050","Selects the year for the calculation of the breakdown of the benefits by pollutants","Selects the year for the calculation of the breakdown of the benefits by pollutants"
"years_simulation","num","2022","2022","2022",NA,NA
